Year,Enrolling District Number,Enrolling District Type,Enrolling District,Count of Open Enrolled,Resident District Number,Resident District Type,Resident District
23-24,786,1,Bertha-Hewitt Public School District,4,818,1,Verndale Public School District
23-24,786,1,Bertha-Hewitt Public School District,1,821,1,Menahga Public School District
23-24,786,1,Bertha-Hewitt Public School District,40,2155,1,Wadena-Deer Creek School District
23-24,786,1,Bertha-Hewitt Public School District,23,2170,1,Staples-Motley School District
23-24,787,1,Browerville Public School District,1,213,1,Osakis Public School District
23-24,787,1,Browerville Public School District,4,482,1,Little Falls Community Schools
23-24,787,1,Browerville Public School District,41,786,1,Bertha-Hewitt Public School District
23-24,787,1,Browerville Public School District,2,2155,1,Wadena-Deer Creek School District
23-24,787,1,Browerville Public School District,33,2170,1,Staples-Motley School District
23-24,787,1,Browerville Public School District,72,2753,1,Long Prairie-Grey Eagle School District
23-24,801,1,Browns Valley Public School District,14,2888,1,Clinton-Graceville-Beardsley
23-24,803,1,Wheaton Area Public School District,5,264,1,Herman-Norcross School District
23-24,803,1,Wheaton Area Public School District,10,801,1,Browns Valley Public School District
23-24,803,1,Wheaton Area Public School District,6,852,1,Campbell-Tintah Public School District
23-24,803,1,Wheaton Area Public School District,2,2342,1,West Central Area
23-24,803,1,Wheaton Area Public School District,18,2888,1,Clinton-Graceville-Beardsley
23-24,811,1,Wabasha-Kellogg Public School District,4,1,1,Aitkin Public School District
23-24,811,1,Wabasha-Kellogg Public School District,17,1,3,Minneapolis Public School District
23-24,811,1,Wabasha-Kellogg Public School District,2,2,1,Hill City Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,4,1,McGregor Public School District
23-24,811,1,Wabasha-Kellogg Public School District,2,6,3,South St. Paul Public School District
23-24,811,1,Wabasha-Kellogg Public School District,12,11,1,Anoka-Hennepin Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,12,1,Centennial Public School District
23-24,811,1,Wabasha-Kellogg Public School District,3,13,1,Columbia Heights Public School District
23-24,811,1,Wabasha-Kellogg Public School District,3,14,1,Fridley Public School District
23-24,811,1,Wabasha-Kellogg Public School District,3,16,1,Spring Lake Park Public Schools
23-24,811,1,Wabasha-Kellogg Public School District,1,23,1,Frazee-Vergas Public School District
23-24,811,1,Wabasha-Kellogg Public School District,6,31,1,Bemidji Public School District
23-24,811,1,Wabasha-Kellogg Public School District,6,32,1,Blackduck Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,38,1,Red Lake Public School District
23-24,811,1,Wabasha-Kellogg Public School District,2,47,1,Sauk Rapids-Rice Public Schools
23-24,811,1,Wabasha-Kellogg Public School District,1,51,1,Foley Public School District
23-24,811,1,Wabasha-Kellogg Public School District,2,77,1,Mankato Public School District
23-24,811,1,Wabasha-Kellogg Public School District,5,88,1,New Ulm Public School District
23-24,811,1,Wabasha-Kellogg Public School District,2,93,1,Carlton Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,97,1,Moose Lake Public School District
23-24,811,1,Wabasha-Kellogg Public School District,4,108,1,Central Public School District
23-24,811,1,Wabasha-Kellogg Public School District,3,112,1,Eastern Carver County Public Schools
23-24,811,1,Wabasha-Kellogg Public School District,2,113,1,Walker-Hackensack-Akeley School District
23-24,811,1,Wabasha-Kellogg Public School District,1,116,1,Pillager Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,118,1,Northland Community Schools
23-24,811,1,Wabasha-Kellogg Public School District,2,129,1,Montevideo Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,138,1,North Branch Area Public Schools
23-24,811,1,Wabasha-Kellogg Public School District,5,139,1,Rush City Public School District
23-24,811,1,Wabasha-Kellogg Public School District,2,150,1,Hawley Public School District
23-24,811,1,Wabasha-Kellogg Public School District,19,152,1,Moorhead Area Public School District
23-24,811,1,Wabasha-Kellogg Public School District,9,181,1,Brainerd Public School District
23-24,811,1,Wabasha-Kellogg Public School District,5,191,1,Burnsville-Eagan-Savage School District
23-24,811,1,Wabasha-Kellogg Public School District,5,192,1,Farmington Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,194,1,Lakeville Area Schools
23-24,811,1,Wabasha-Kellogg Public School District,3,196,1,Rosemount-Apple Valley-Eagan
23-24,811,1,Wabasha-Kellogg Public School District,1,199,1,Inver Grove Heights Schools
23-24,811,1,Wabasha-Kellogg Public School District,11,200,1,Hastings Public School District
23-24,811,1,Wabasha-Kellogg Public School District,3,204,1,Kasson-Mantorville School District
23-24,811,1,Wabasha-Kellogg Public School District,1,213,1,Osakis Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,229,1,Lanesboro Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,241,1,Albert Lea Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,255,1,Pine Island Public School District
23-24,811,1,Wabasha-Kellogg Public School District,2,256,1,Red Wing Public School District
23-24,811,1,Wabasha-Kellogg Public School District,5,271,1,Bloomington Public School District
23-24,811,1,Wabasha-Kellogg Public School District,2,272,1,Eden Prairie Public School District
23-24,811,1,Wabasha-Kellogg Public School District,9,279,1,Osseo Public School District
23-24,811,1,Wabasha-Kellogg Public School District,4,281,1,Robbinsdale Public School District
23-24,811,1,Wabasha-Kellogg Public School District,3,283,1,St. Louis Park Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,284,1,Wayzata Public School District
23-24,811,1,Wabasha-Kellogg Public School District,2,299,1,Caledonia Public School District
23-24,811,1,Wabasha-Kellogg Public School District,3,309,1,Park Rapids Public School District
23-24,811,1,Wabasha-Kellogg Public School District,3,314,1,Braham Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,317,1,Deer River Public School District
23-24,811,1,Wabasha-Kellogg Public School District,4,318,1,Grand Rapids Public School District
23-24,811,1,Wabasha-Kellogg Public School District,3,330,1,Heron Lake-Okabena School District
23-24,811,1,Wabasha-Kellogg Public School District,1,345,1,New London-Spicer School District
23-24,811,1,Wabasha-Kellogg Public School District,1,347,1,Willmar Public School District
23-24,811,1,Wabasha-Kellogg Public School District,5,361,1,International Falls School District
23-24,811,1,Wabasha-Kellogg Public School District,2,363,1,South Koochiching School District
23-24,811,1,Wabasha-Kellogg Public School District,4,413,1,Marshall Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,424,1,Lester Prairie Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,441,1,Marshall County Central Schools
23-24,811,1,Wabasha-Kellogg Public School District,1,463,1,Eden Valley-Watkins School District
23-24,811,1,Wabasha-Kellogg Public School District,2,465,1,Litchfield Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,466,1,Dassel-Cokato Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,473,1,Isle Public School District
23-24,811,1,Wabasha-Kellogg Public School District,3,477,1,Princeton Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,482,1,Little Falls Community Schools
23-24,811,1,Wabasha-Kellogg Public School District,3,484,1,Pierz Public School District
23-24,811,1,Wabasha-Kellogg Public School District,2,485,1,Royalton Public School District
23-24,811,1,Wabasha-Kellogg Public School District,2,492,1,Austin Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,511,1,Adrian Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,518,1,Worthington Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,533,1,Dover-Eyota Public School District
23-24,811,1,Wabasha-Kellogg Public School District,2,534,1,Stewartville Public School District
23-24,811,1,Wabasha-Kellogg Public School District,6,535,1,Rochester Public School District
23-24,811,1,Wabasha-Kellogg Public School District,2,544,1,Fergus Falls Public School District
23-24,811,1,Wabasha-Kellogg Public School District,2,545,1,Henning Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,549,1,Perham-Dent Public School District
23-24,811,1,Wabasha-Kellogg Public School District,2,553,1,New York Mills Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,564,1,Thief River Falls School District
23-24,811,1,Wabasha-Kellogg Public School District,5,578,1,Pine City Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,593,1,Crookston Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,595,1,East Grand Forks Public Schools
23-24,811,1,Wabasha-Kellogg Public School District,2,599,1,Fertile-Beltrami School District
23-24,811,1,Wabasha-Kellogg Public School District,3,601,1,Fosston Public School District
23-24,811,1,Wabasha-Kellogg Public School District,5,621,1,Mounds View Public School District
23-24,811,1,Wabasha-Kellogg Public School District,6,622,1,North St. Paul-Maplewood Oakdale Public School District
23-24,811,1,Wabasha-Kellogg Public School District,3,623,1,Roseville Public School District
23-24,811,1,Wabasha-Kellogg Public School District,9,624,1,White Bear Lake School District
23-24,811,1,Wabasha-Kellogg Public School District,8,625,1,Saint Paul Public Schools
23-24,811,1,Wabasha-Kellogg Public School District,1,640,1,Wabasso Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,656,1,Faribault Public School District
23-24,811,1,Wabasha-Kellogg Public School District,3,659,1,Northfield Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,682,1,Roseau Public School District
23-24,811,1,Wabasha-Kellogg Public School District,3,690,1,Warroad Public School District
23-24,811,1,Wabasha-Kellogg Public School District,2,695,1,Chisholm Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,696,1,Ely Public School District
23-24,811,1,Wabasha-Kellogg Public School District,5,701,1,Hibbing Public School District
23-24,811,1,Wabasha-Kellogg Public School District,7,709,1,Duluth Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,717,1,Jordan Public School District
23-24,811,1,Wabasha-Kellogg Public School District,2,719,1,Prior Lake-Savage Area Schools
23-24,811,1,Wabasha-Kellogg Public School District,6,720,1,Shakopee Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,721,1,New Prague Area Schools
23-24,811,1,Wabasha-Kellogg Public School District,9,727,1,Big Lake Public School District
23-24,811,1,Wabasha-Kellogg Public School District,9,728,1,Elk River Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,738,1,Holdingford Public School District
23-24,811,1,Wabasha-Kellogg Public School District,3,739,1,Kimball Public School District
23-24,811,1,Wabasha-Kellogg Public School District,2,740,1,Melrose Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,741,1,Paynesville Area Schools
23-24,811,1,Wabasha-Kellogg Public School District,18,742,1,St. Cloud Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,743,1,Sauk Centre Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,748,1,Sartell-St. Stephen School District
23-24,811,1,Wabasha-Kellogg Public School District,4,750,1,ROCORI Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,761,1,Owatonna Public School District
23-24,811,1,Wabasha-Kellogg Public School District,2,777,1,Benson Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,787,1,Browerville Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,813,1,Lake City Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,821,1,Menahga Public School District
23-24,811,1,Wabasha-Kellogg Public School District,4,831,1,Forest Lake Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,832,1,Mahtomedi Public School District
23-24,811,1,Wabasha-Kellogg Public School District,6,833,1,South Washington County Schools
23-24,811,1,Wabasha-Kellogg Public School District,3,834,1,Stillwater Area Public Schools
23-24,811,1,Wabasha-Kellogg Public School District,2,836,1,Butterfield-Odin Public School District
23-24,811,1,Wabasha-Kellogg Public School District,2,840,1,St. James Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,857,1,Lewiston-Altura Public School District
23-24,811,1,Wabasha-Kellogg Public School District,2,858,1,St. Charles Public School District
23-24,811,1,Wabasha-Kellogg Public School District,16,861,1,Winona Area Public School District
23-24,811,1,Wabasha-Kellogg Public School District,4,876,1,Annandale Public School District
23-24,811,1,Wabasha-Kellogg Public School District,3,877,1,Buffalo-Hanover-Montrose Schools
23-24,811,1,Wabasha-Kellogg Public School District,5,879,1,Delano Public School District
23-24,811,1,Wabasha-Kellogg Public School District,5,882,1,Monticello Public School District
23-24,811,1,Wabasha-Kellogg Public School District,3,883,1,Rockford Public School District
23-24,811,1,Wabasha-Kellogg Public School District,2,885,1,St. Michael-Albertville School District
23-24,811,1,Wabasha-Kellogg Public School District,1,891,1,Canby Public School District
23-24,811,1,Wabasha-Kellogg Public School District,7,911,1,Cambridge-Isanti Public School District
23-24,811,1,Wabasha-Kellogg Public School District,3,912,1,Milaca Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,2071,1,Lake Crystal-Wellcome Memorial
23-24,811,1,Wabasha-Kellogg Public School District,2,2135,1,Maple River School District
23-24,811,1,Wabasha-Kellogg Public School District,2,2137,1,Kingsland Public School District
23-24,811,1,Wabasha-Kellogg Public School District,4,2142,1,St. Louis County School District
23-24,811,1,Wabasha-Kellogg Public School District,2,2144,1,Chisago Lakes School District
23-24,811,1,Wabasha-Kellogg Public School District,1,2159,1,Buffalo Lake-Hector-Stewart Public Schools
23-24,811,1,Wabasha-Kellogg Public School District,2,2165,1,Hinckley-Finlayson School District
23-24,811,1,Wabasha-Kellogg Public School District,3,2168,1,NRHEG School District
23-24,811,1,Wabasha-Kellogg Public School District,2,2170,1,Staples-Motley School District
23-24,811,1,Wabasha-Kellogg Public School District,2,2174,1,Pine River-Backus School District
23-24,811,1,Wabasha-Kellogg Public School District,1,2184,1,Luverne Public School District
23-24,811,1,Wabasha-Kellogg Public School District,3,2190,1,Yellow Medicine East
23-24,811,1,Wabasha-Kellogg Public School District,2,2310,1,Sibley East School District
23-24,811,1,Wabasha-Kellogg Public School District,2,2396,1,A.C.G.C. Public School District
23-24,811,1,Wabasha-Kellogg Public School District,1,2397,1,Le Sueur-Henderson School District
23-24,811,1,Wabasha-Kellogg Public School District,1,2448,1,Martin County West School District
23-24,811,1,Wabasha-Kellogg Public School District,1,2683,1,Greenbush Middle River School District
23-24,811,1,Wabasha-Kellogg Public School District,2,2687,1,Howard Lake-Waverly-Winsted
23-24,811,1,Wabasha-Kellogg Public School District,3,2711,1,Mesabi East School District
23-24,811,1,Wabasha-Kellogg Public School District,2,2752,1,Fairmont Area School District
23-24,811,1,Wabasha-Kellogg Public School District,2,2753,1,Long Prairie-Grey Eagle School District
23-24,811,1,Wabasha-Kellogg Public School District,4,2754,1,Cedar Mountain School District
23-24,811,1,Wabasha-Kellogg Public School District,1,2859,1,Glencoe-Silver Lake School District
23-24,811,1,Wabasha-Kellogg Public School District,1,2860,1,Blue Earth Area School District
23-24,811,1,Wabasha-Kellogg Public School District,1,2889,1,Lake Park Audubon School District
23-24,811,1,Wabasha-Kellogg Public School District,1,2890,1,Renville County West School District
23-24,811,1,Wabasha-Kellogg Public School District,1,2897,1,Redwood Area School District
23-24,811,1,Wabasha-Kellogg Public School District,6,2899,1,Plainview-Elgin-Millville
23-24,811,1,Wabasha-Kellogg Public School District,1,2904,1,Tracy Area Public School District
23-24,811,1,Wabasha-Kellogg Public School District,2,2905,1,Tri-City United School District
23-24,811,1,Wabasha-Kellogg Public School District,1,2909,1,Rock Ridge Public Schools
23-24,811,1,Wabasha-Kellogg Public School District,2,2910,1,Ada-Borup-West Public Schools
23-24,813,1,Lake City Public School District,1,192,1,Farmington Public School District
23-24,813,1,Lake City Public School District,15,253,1,Goodhue Public School District
23-24,813,1,Lake City Public School District,2,255,1,Pine Island Public School District
23-24,813,1,Lake City Public School District,18,256,1,Red Wing Public School District
23-24,813,1,Lake City Public School District,11,535,1,Rochester Public School District
23-24,813,1,Lake City Public School District,23,811,1,Wabasha-Kellogg Public School District
23-24,813,1,Lake City Public School District,1,2805,1,Zumbrota-Mazeppa School District
23-24,813,1,Lake City Public School District,2,2899,1,Plainview-Elgin-Millville
23-24,818,1,Verndale Public School District,6,553,1,New York Mills Public School District
23-24,818,1,Verndale Public School District,22,786,1,Bertha-Hewitt Public School District
23-24,818,1,Verndale Public School District,15,820,1,Sebeka Public School District
23-24,818,1,Verndale Public School District,4,821,1,Menahga Public School District
23-24,818,1,Verndale Public School District,113,2155,1,Wadena-Deer Creek School District
23-24,818,1,Verndale Public School District,115,2170,1,Staples-Motley School District
23-24,818,1,Verndale Public School District,1,2769,1,Morris Area Public Schools
23-24,820,1,Sebeka Public School District,1,23,1,Frazee-Vergas Public School District
23-24,820,1,Sebeka Public School District,9,309,1,Park Rapids Public School District
23-24,820,1,Sebeka Public School District,2,549,1,Perham-Dent Public School District
23-24,820,1,Sebeka Public School District,2,553,1,New York Mills Public School District
23-24,820,1,Sebeka Public School District,6,818,1,Verndale Public School District
23-24,820,1,Sebeka Public School District,51,821,1,Menahga Public School District
23-24,820,1,Sebeka Public School District,34,2155,1,Wadena-Deer Creek School District
23-24,820,1,Sebeka Public School District,2,2170,1,Staples-Motley School District
23-24,820,1,Sebeka Public School District,6,2174,1,Pine River-Backus School District
23-24,821,1,Menahga Public School District,75,23,1,Frazee-Vergas Public School District
23-24,821,1,Menahga Public School District,3,162,1,Bagley Public School District
23-24,821,1,Menahga Public School District,2,308,1,Nevis Public School District
23-24,821,1,Menahga Public School District,106,309,1,Park Rapids Public School District
23-24,821,1,Menahga Public School District,5,549,1,Perham-Dent Public School District
23-24,821,1,Menahga Public School District,11,553,1,New York Mills Public School District
23-24,821,1,Menahga Public School District,51,820,1,Sebeka Public School District
23-24,821,1,Menahga Public School District,2,2155,1,Wadena-Deer Creek School District
23-24,829,1,Waseca Public School District,8,761,1,Owatonna Public School District
23-24,829,1,Waseca Public School District,6,2143,1,Waterville-Elysian-Morristown Public School District
23-24,829,1,Waseca Public School District,5,2168,1,NRHEG School District
23-24,829,1,Waseca Public School District,1,2835,1,Janesville-Waldorf-Pemberton
23-24,831,1,Forest Lake Public School District,1,1,3,Minneapolis Public School District
23-24,831,1,Forest Lake Public School District,1,6,3,South St. Paul Public School District
23-24,831,1,Forest Lake Public School District,38,11,1,Anoka-Hennepin Public School District
23-24,831,1,Forest Lake Public School District,30,12,1,Centennial Public School District
23-24,831,1,Forest Lake Public School District,1,13,1,Columbia Heights Public School District
23-24,831,1,Forest Lake Public School District,89,15,1,St. Francis Area Schools
23-24,831,1,Forest Lake Public School District,2,16,1,Spring Lake Park Public Schools
23-24,831,1,Forest Lake Public School District,223,138,1,North Branch Area Public Schools
23-24,831,1,Forest Lake Public School District,1,139,1,Rush City Public School District
23-24,831,1,Forest Lake Public School District,1,276,1,Minnetonka Public School District
23-24,831,1,Forest Lake Public School District,1,277,1,Westonka Public School District
23-24,831,1,Forest Lake Public School District,1,280,1,Richfield Public School District
23-24,831,1,Forest Lake Public School District,1,283,1,St. Louis Park Public School District
23-24,831,1,Forest Lake Public School District,1,284,1,Wayzata Public School District
23-24,831,1,Forest Lake Public School District,5,323,2,Franconia Public School District
23-24,831,1,Forest Lake Public School District,3,578,1,Pine City Public School District
23-24,831,1,Forest Lake Public School District,2,621,1,Mounds View Public School District
23-24,831,1,Forest Lake Public School District,3,622,1,North St. Paul-Maplewood Oakdale Public School District
23-24,831,1,Forest Lake Public School District,45,624,1,White Bear Lake School District
23-24,831,1,Forest Lake Public School District,4,625,1,Saint Paul Public Schools
23-24,831,1,Forest Lake Public School District,2,834,1,Stillwater Area Public Schools
23-24,831,1,Forest Lake Public School District,6,911,1,Cambridge-Isanti Public School District
23-24,831,1,Forest Lake Public School District,116,2144,1,Chisago Lakes School District
23-24,831,1,Forest Lake Public School District,1,2365,1,GFW Public Schools
23-24,832,1,Mahtomedi Public School District,5,1,3,Minneapolis Public School District
23-24,832,1,Mahtomedi Public School District,7,12,1,Centennial Public School District
23-24,832,1,Mahtomedi Public School District,1,16,1,Spring Lake Park Public Schools
23-24,832,1,Mahtomedi Public School District,6,621,1,Mounds View Public School District
23-24,832,1,Mahtomedi Public School District,287,622,1,North St. Paul-Maplewood Oakdale Public School District
23-24,832,1,Mahtomedi Public School District,16,623,1,Roseville Public School District
23-24,832,1,Mahtomedi Public School District,312,624,1,White Bear Lake School District
23-24,832,1,Mahtomedi Public School District,34,625,1,Saint Paul Public Schools
23-24,832,1,Mahtomedi Public School District,1,656,1,Faribault Public School District
23-24,832,1,Mahtomedi Public School District,1,717,1,Jordan Public School District
23-24,832,1,Mahtomedi Public School District,24,831,1,Forest Lake Public School District
23-24,832,1,Mahtomedi Public School District,12,833,1,South Washington County Schools
23-24,832,1,Mahtomedi Public School District,225,834,1,Stillwater Area Public Schools
23-24,832,1,Mahtomedi Public School District,3,2144,1,Chisago Lakes School District
23-24,833,1,South Washington County Schools,1,1,3,Minneapolis Public School District
23-24,833,1,South Washington County Schools,7,6,3,South St. Paul Public School District
23-24,833,1,South Washington County Schools,1,11,1,Anoka-Hennepin Public School District
23-24,833,1,South Washington County Schools,9,197,1,West St. Paul-Mendota Heights-Eagan
23-24,833,1,South Washington County Schools,13,199,1,Inver Grove Heights Schools
23-24,833,1,South Washington County Schools,49,200,1,Hastings Public School District
23-24,833,1,South Washington County Schools,1,279,1,Osseo Public School District
23-24,833,1,South Washington County Schools,1,281,1,Robbinsdale Public School District
23-24,833,1,South Washington County Schools,3,621,1,Mounds View Public School District
23-24,833,1,South Washington County Schools,145,622,1,North St. Paul-Maplewood Oakdale Public School District
23-24,833,1,South Washington County Schools,1,624,1,White Bear Lake School District
23-24,833,1,South Washington County Schools,99,625,1,Saint Paul Public Schools
23-24,833,1,South Washington County Schools,1,719,1,Prior Lake-Savage Area Schools
23-24,833,1,South Washington County Schools,1,831,1,Forest Lake Public School District
23-24,833,1,South Washington County Schools,1,832,1,Mahtomedi Public School District
23-24,833,1,South Washington County Schools,110,834,1,Stillwater Area Public Schools
23-24,833,1,South Washington County Schools,1,2144,1,Chisago Lakes School District
23-24,834,1,Stillwater Area Public Schools,1,11,1,Anoka-Hennepin Public School District
23-24,834,1,Stillwater Area Public Schools,1,12,1,Centennial Public School District
23-24,834,1,Stillwater Area Public Schools,1,191,1,Burnsville-Eagan-Savage School District
23-24,834,1,Stillwater Area Public Schools,1,197,1,West St. Paul-Mendota Heights-Eagan
23-24,834,1,Stillwater Area Public Schools,12,200,1,Hastings Public School District
23-24,834,1,Stillwater Area Public Schools,1,270,1,Hopkins Public School District
23-24,834,1,Stillwater Area Public Schools,108,622,1,North St. Paul-Maplewood Oakdale Public School District
23-24,834,1,Stillwater Area Public Schools,6,624,1,White Bear Lake School District
23-24,834,1,Stillwater Area Public Schools,23,625,1,Saint Paul Public Schools
23-24,834,1,Stillwater Area Public Schools,1,659,1,Northfield Public School District
23-24,834,1,Stillwater Area Public Schools,32,831,1,Forest Lake Public School District
23-24,834,1,Stillwater Area Public Schools,8,832,1,Mahtomedi Public School District
23-24,834,1,Stillwater Area Public Schools,43,833,1,South Washington County Schools
23-24,834,1,Stillwater Area Public Schools,2,2144,1,Chisago Lakes School District
23-24,836,1,Butterfield-Odin Public School District,3,81,1,Comfrey Public School District
23-24,836,1,Butterfield-Odin Public School District,1,85,1,Springfield Public School District
23-24,836,1,Butterfield-Odin Public School District,16,173,1,Mountain Lake Public Schools
23-24,836,1,Butterfield-Odin Public School District,6,177,1,Windom Public School District
23-24,836,1,Butterfield-Odin Public School District,46,840,1,St. James Public School District
23-24,837,1,Madelia Public School District,17,88,1,New Ulm Public School District
23-24,837,1,Madelia Public School District,15,458,1,Truman Public School District
23-24,837,1,Madelia Public School District,1,836,1,Butterfield-Odin Public School District
23-24,837,1,Madelia Public School District,51,840,1,St. James Public School District
23-24,837,1,Madelia Public School District,2,2071,1,Lake Crystal-Wellcome Memorial
23-24,837,1,Madelia Public School District,1,2536,1,Granada Huntley East Chain
23-24,840,1,St. James Public School District,7,81,1,Comfrey Public School District
23-24,840,1,St. James Public School District,1,88,1,New Ulm Public School District
23-24,840,1,St. James Public School District,1,173,1,Mountain Lake Public Schools
23-24,840,1,St. James Public School District,6,458,1,Truman Public School District
23-24,840,1,St. James Public School District,36,836,1,Butterfield-Odin Public School District
23-24,840,1,St. James Public School District,13,837,1,Madelia Public School District
23-24,840,1,St. James Public School District,7,2448,1,Martin County West School District
23-24,846,1,Breckenridge Public School District,2,152,1,Moorhead Area Public School District
23-24,846,1,Breckenridge Public School District,3,544,1,Fergus Falls Public School District
23-24,846,1,Breckenridge Public School District,3,850,1,Rothsay Public School District
23-24,846,1,Breckenridge Public School District,15,852,1,Campbell-Tintah Public School District
23-24,850,1,Rothsay Public School District,25,146,1,Barnesville Public School District
23-24,850,1,Rothsay Public School District,62,544,1,Fergus Falls Public School District
23-24,850,1,Rothsay Public School District,28,548,1,Pelican Rapids Public School District
23-24,850,1,Rothsay Public School District,3,846,1,Breckenridge Public School District
23-24,852,1,Campbell-Tintah Public School District,51,846,1,Breckenridge Public School District
23-24,852,1,Campbell-Tintah Public School District,2,850,1,Rothsay Public School District
23-24,852,1,Campbell-Tintah Public School District,2,2342,1,West Central Area
23-24,857,1,Lewiston-Altura Public School District,13,239,1,Rushford-Peterson Public Schools
23-24,857,1,Lewiston-Altura Public School District,1,294,1,Houston Public School District
23-24,857,1,Lewiston-Altura Public School District,23,858,1,St. Charles Public School District
23-24,857,1,Lewiston-Altura Public School District,105,861,1,Winona Area Public School District
23-24,858,1,St. Charles Public School District,2,227,1,Chatfield Public Schools
23-24,858,1,St. Charles Public School District,5,239,1,Rushford-Peterson Public Schools
23-24,858,1,St. Charles Public School District,40,533,1,Dover-Eyota Public School District
23-24,858,1,St. Charles Public School District,2,535,1,Rochester Public School District
23-24,858,1,St. Charles Public School District,1,833,1,South Washington County Schools
23-24,858,1,St. Charles Public School District,41,857,1,Lewiston-Altura Public School District
23-24,858,1,St. Charles Public School District,3,861,1,Winona Area Public School District
23-24,858,1,St. Charles Public School District,1,2899,1,Plainview-Elgin-Millville
23-24,861,1,Winona Area Public School District,1,239,1,Rushford-Peterson Public Schools
23-24,861,1,Winona Area Public School District,4,811,1,Wabasha-Kellogg Public School District
23-24,861,1,Winona Area Public School District,12,857,1,Lewiston-Altura Public School District
23-24,861,1,Winona Area Public School District,1,858,1,St. Charles Public School District
23-24,876,1,Annandale Public School District,2,11,1,Anoka-Hennepin Public School District
23-24,876,1,Annandale Public School District,1,14,1,Fridley Public School District
23-24,876,1,Annandale Public School District,2,47,1,Sauk Rapids-Rice Public Schools
23-24,876,1,Annandale Public School District,2,270,1,Hopkins Public School District
23-24,876,1,Annandale Public School District,1,279,1,Osseo Public School District
23-24,876,1,Annandale Public School District,3,463,1,Eden Valley-Watkins School District
23-24,876,1,Annandale Public School District,13,465,1,Litchfield Public School District
23-24,876,1,Annandale Public School District,15,466,1,Dassel-Cokato Public School District
23-24,876,1,Annandale Public School District,1,487,1,Upsala Public School District
23-24,876,1,Annandale Public School District,1,728,1,Elk River Public School District
23-24,876,1,Annandale Public School District,90,739,1,Kimball Public School District
23-24,876,1,Annandale Public School District,295,742,1,St. Cloud Public School District
23-24,876,1,Annandale Public School District,15,877,1,Buffalo-Hanover-Montrose Schools
23-24,876,1,Annandale Public School District,32,881,1,Maple Lake Public School District
23-24,876,1,Annandale Public School District,27,882,1,Monticello Public School District
23-24,876,1,Annandale Public School District,8,2687,1,Howard Lake-Waverly-Winsted
23-24,877,1,Buffalo-Hanover-Montrose Schools,2,11,1,Anoka-Hennepin Public School District
23-24,877,1,Buffalo-Hanover-Montrose Schools,1,51,1,Foley Public School District
23-24,877,1,Buffalo-Hanover-Montrose Schools,2,110,1,Waconia Public School District
23-24,877,1,Buffalo-Hanover-Montrose Schools,1,111,1,Watertown-Mayer Public School District
23-24,877,1,Buffalo-Hanover-Montrose Schools,1,194,1,Lakeville Area Schools
23-24,877,1,Buffalo-Hanover-Montrose Schools,6,279,1,Osseo Public School District
23-24,877,1,Buffalo-Hanover-Montrose Schools,1,424,1,Lester Prairie Public School District
23-24,877,1,Buffalo-Hanover-Montrose Schools,8,466,1,Dassel-Cokato Public School District
